sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
93,2016-03-02 20:19:55.189730,1456946395.18973,DECA020000000003,1.053381,14897,15060,9551,1098,6142,44,237,0,2912
94,2016-03-02 20:19:55.205330,1456946395.20533,DECA020000000002,1.113183,14907,15332,10066,1535,7057,60,228,0,2914
94,2016-03-02 20:19:55.220930,1456946395.22093,DECA020000000003,1.056899,14408,14935,11049,1461,6331,60,233,0,2916
95,2016-03-02 20:19:55.236530,1456946395.23653,DECA020000000002,1.154777,15535,15655,10081,1444,7898,56,236,0,2918
95,2016-03-02 20:19:55.252130,1456946395.25213,DECA020000000003,1.075660,13589,15638,13814,1135,6522,44,234,0,2920
96,2016-03-02 20:19:55.283330,1456946395.28333,DECA020000000002,1.115528,15034,15431,13728,1748,7612,68,237,0,2922
96,2016-03-02 20:19:55.283330,1456946395.28333,DECA020000000003,1.062762,10060,15185,14511,1184,6158,48,238,0,2924
97,2016-03-02 20:19:55.314530,1456946395.31453,DECA020000000002,1.162985,14110,15608,13454,1448,7315,56,234,0,2926
97,2016-03-02 20:19:55.330130,1456946395.33013,DECA020000000003,1.096767,14211,15361,12627,1070,6450,40,228,0,2928
98,2016-03-02 20:19:55.345730,1456946395.34573,DECA020000000002,1.148914,13758,15576,14783,1546,7734,60,233,0,2930
98,2016-03-02 20:19:55.361330,1456946395.36133,DECA020000000003,1.061589,12605,15184,14252,1187,6628,48,236,0,2932
99,2016-03-02 20:19:55.376930,1456946395.37693,DECA020000000002,1.140706,13441,15384,13732,1502,7185,56,228,0,2934
99,2016-03-02 20:19:55.392530,1456946395.39253,DECA020000000003,1.088559,12964,15705,13795,1388,6539,52,232,0,2936
100,2016-03-02 20:19:55.408130,1456946395.40813,DECA020000000002,1.161813,14471,14843,7926,1576,7201,64,232,0,2938
100,2016-03-02 20:19:55.423730,1456946395.42373,DECA020000000003,1.095594,13435,15877,14053,1134,6841,44,236,0,2940
101,2016-03-02 20:19:55.439330,1456946395.43933,DECA020000000002,1.117873,15131,14404,12077,1745,7262,68,235,0,2942
101,2016-03-02 20:19:55.454930,1456946395.45493,DECA020000000003,1.087386,13105,15012,13819,1186,6577,48,237,0,2944
102,2016-03-02 20:19:55.470530,1456946395.47053,DECA020000000002,1.117254,15360,14669,8204,1540,7570,60,233,0,2946
102,2016-03-02 20:19:55.486130,1456946395.48613,DECA020000000003,1.066279,10313,14744,14465,1090,6182,44,230,0,2948
103,2016-03-02 20:19:55.517330,1456946395.51733,DECA020000000002,1.096767,14865,15528,10442,1640,7687,64,235,0,2950
103,2016-03-02 20:19:55.517330,1456946395.51733,DECA020000000003,1.078005,14902,15391,11236,1132,6291,44,230,0,2952
104,2016-03-02 20:19:55.548531,1456946395.548531,DECA020000000002,1.126635,15164,16254,14317,1556,8144,60,241,0,2954
104,2016-03-02 20:19:55.548531,1456946395.548531,DECA020000000003,1.107320,13483,14720,13150,1225,6436,52,238,0,2956
105,2016-03-02 20:19:55.579731,1456946395.579731,DECA020000000002,1.119599,13981,15553,14557,1557,7408,60,234,0,2958
105,2016-03-02 20:19:55.595331,1456946395.595331,DECA020000000003,1.097939,13154,14220,12674,957,6033,40,231,0,2960
106,2016-03-02 20:19:55.610931,1456946395.610931,DECA020000000002,1.151259,15290,15612,11026,1346,7536,52,234,0,2962
106,2016-03-02 20:19:55.626531,1456946395.626531,DECA020000000003,1.085041,13632,15518,14249,1339,6906,52,239,0,2964
107,2016-03-02 20:19:55.642131,1456946395.642131,DECA020000000002,1.134843,15059,15781,11718,1602,7323,60,233,0,2966
