sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
101,2016-03-09 09:21:41.979110,1457511701.97911,DECA020000000003,23.061048,2701,5591,5748,536,626,36,234,1,2707
102,2016-03-09 09:21:42.009111,1457511702.009111,DECA020000000002,25.254963,3714,5137,3207,478,418,32,236,1,2709
102,2016-03-09 09:21:42.019111,1457511702.019111,DECA020000000003,23.038769,3698,5271,3663,537,448,36,231,1,2711
103,2016-03-09 09:21:42.039111,1457511702.039111,DECA020000000002,25.239719,3665,5153,3471,482,428,32,235,1,2713
103,2016-03-09 09:21:42.049111,1457511702.049111,DECA020000000003,23.016490,2613,5618,5662,430,621,28,229,1,2715
104,2016-03-09 09:21:42.069111,1457511702.069111,DECA020000000002,25.251445,1876,4487,4402,482,383,32,233,1,2717
104,2016-03-09 09:21:42.079111,1457511702.079111,DECA020000000003,23.061048,1943,5193,5909,536,604,36,231,1,2719
105,2016-03-09 09:21:42.109111,1457511702.109111,DECA020000000002,25.238546,3328,4980,3323,481,395,32,233,1,2721
105,2016-03-09 09:21:42.119111,1457511702.119111,DECA020000000003,23.005937,3261,5827,4753,539,556,36,231,1,2723
106,2016-03-09 09:21:42.139111,1457511702.139111,DECA020000000002,25.244409,2365,4743,3957,430,371,28,233,1,2725
106,2016-03-09 09:21:42.149111,1457511702.149111,DECA020000000003,23.014145,2733,5722,5304,484,585,32,230,1,2727
107,2016-03-09 09:21:42.169111,1457511702.169111,DECA020000000002,25.220958,2803,4783,3873,536,384,36,233,1,2729
107,2016-03-09 09:21:42.179111,1457511702.179111,DECA020000000003,23.011799,2126,5438,5510,484,560,32,231,1,2731
108,2016-03-09 09:21:42.209111,1457511702.209111,DECA020000000002,25.205714,2042,4517,4304,544,377,36,233,1,2733
108,2016-03-09 09:21:42.219111,1457511702.219111,DECA020000000003,23.004764,2838,5558,4988,482,528,32,228,1,2735
109,2016-03-09 09:21:42.239111,1457511702.239111,DECA020000000002,25.182262,2068,4605,4234,478,379,32,236,1,2737
109,2016-03-09 09:21:42.249111,1457511702.249111,DECA020000000003,22.988348,2214,5549,5727,538,608,36,232,1,2739
110,2016-03-09 09:21:42.269111,1457511702.269111,DECA020000000002,25.171709,2576,4479,3733,434,346,28,239,1,2741
110,2016-03-09 09:21:42.279111,1457511702.279111,DECA020000000003,22.984830,4821,5873,3561,598,568,40,235,1,2743
111,2016-03-09 09:21:42.309111,1457511702.309111,DECA020000000002,25.184607,2087,4182,4030,590,337,40,238,1,2745
111,2016-03-09 09:21:42.319111,1457511702.319111,DECA020000000003,22.981312,2689,5485,4767,478,501,32,228,1,2747
